Route,Day of Week,Trains per Hour (Each Direction),Average Wait Time (Minutes)
1,Saturday,8.0,10.0
1,Sunday,6.0,12.0
1,Weekday,10.0,9.0
2,Saturday,6.0,12.0
2,Sunday,5.0,13.0
2,Weekday,7.0,11.0
3,Saturday,4.0,14.0
3,Sunday,4.0,15.0
3,Weekday,6.0,12.0
4,Saturday,6.0,12.0
4,Sunday,5.0,13.0
4,Weekday,8.0,10.0
5,Saturday,4.0,14.0
5,Sunday,4.0,15.0
5,Weekday,7.0,11.0
6,Saturday,7.0,10.0
6,Sunday,6.0,12.0
6,Weekday,12.0,8.0
7,Saturday,9.0,9.0
7,Sunday,8.0,10.0
7,Weekday,13.0,7.0
A,Saturday,6.0,10.0
A,Sunday,6.0,11.0
A,Weekday,8.0,9.0
B,Weekday,4.0,9.0
C,Saturday,3.0,12.0
C,Sunday,3.0,13.0
C,Weekday,5.0,10.0
D,Saturday,4.0,14.0
D,Sunday,4.0,14.0
D,Weekday,6.0,12.0
E,Saturday,4.0,14.0
E,Sunday,4.0,15.0
E,Weekday,8.0,10.0
F,Saturday,7.0,11.0
F,Sunday,7.0,11.0
F,Weekday,10.0,8.0
FS,Saturday,5.0,14.0
FS,Sunday,4.0,15.0
FS,Weekday,5.0,13.0
G,Saturday,6.0,12.0
G,Sunday,5.0,14.0
G,Weekday,6.0,12.0
GS,Saturday,8.0,7.0
GS,Sunday,7.0,8.0
GS,Weekday,11.0,5.0
H,Saturday,3.0,18.0
H,Sunday,3.0,20.0
H,Weekday,4.0,18.0
J,Saturday,5.0,13.0
J,Sunday,5.0,14.0
J,Weekday,6.0,12.0
L,Saturday,10.0,8.0
L,Sunday,9.0,9.0
L,Weekday,11.0,8.0
M,Saturday,6.0,12.0
M,Sunday,5.0,14.0
M,Weekday,5.0,13.0
N,Saturday,4.0,14.0
N,Sunday,4.0,14.0
N,Weekday,10.0,9.0
Q,Saturday,6.0,12.0
Q,Sunday,6.0,13.0
Q,Weekday,7.0,11.0
R,Saturday,4.0,14.0
R,Sunday,4.0,14.0
R,Weekday,6.0,12.0
